name,longitude,latitude,uber_count,avg_price
Allerton,-73.85931863221647,40.86578787802982,860.0,1.5
Annadale,-74.17854866165878,40.53811417474507,11.0,1.75
Arden Heights,-74.18588674583894,40.54928582278321,10.0,1.7
Arlington,-74.16510420241123,40.63532509911492,0.0,1.55
Arrochar,-74.06712363225573,40.596312571276734,145.0,1.75
Arverne,-73.79199233136944,40.58914394372971,241.0,1.8
Astoria,-73.91565374304234,40.76850859335492,18384.0,1.8
Astoria Heights,-73.89467996270574,40.7703173929982,97.0,1.5
Auburndale,-73.79176243728061,40.761729549032616,647.0,1.7
Bath Beach,-73.99875221443519,40.59951870282239,1629.0,1.35
Battery Park City,-74.01686930508617,40.71193198394565,30045.0,1.9
Bay Ridge,-74.03062069353813,40.625801065010656,7586.0,1.85
Bay Terrace,-73.7768022262158,40.78284280624555,685.0,1.7
Baychester,-73.83579759808117,40.866858107252696,0.0,1.6
Bayside,-73.77427363068671,40.76604063281064,1964.0,1.9
Bayswater,-73.76596781445626,40.61132169128385,0.0,1.35
Bedford Park,-73.8855121841913,40.870185164975325,18904.0,1.35
Bedford Stuyvesant,-73.94178488690297,40.68723160772045,0.0,1.9
Beechhurst,-73.80436451720988,40.79278140360048,0.0,1.65
Bellaire,-73.73889198912481,40.73301404027834,0.0,1.55
Belle Harbor,-73.8540175039252,40.576155565431094,0.0,1.8
Bellerose,-73.72012814826904,40.72857318176675,713.0,1.5
Belmont,-73.88845196134805,40.85727710073896,1692.0,1.65
Bensonhurst,-73.99517998380729,40.61100890202044,4115.0,1.55
Bergen Beach,-73.89855633630317,40.615149550453076,0.0,1.8
Blissville,-73.93244235260178,40.73725071694497,0.0,1.65
Bloomfield,-74.18725638381567,40.60577868452358,195.0,1.45
Boerum Hill,-73.98374824115798,40.68568291209144,13985.0,1.75
Borough Park,-73.99049823044811,40.633130512758015,3653.0,1.65
Breezy Point,-73.92551196994168,40.55740128845452,42.0,1.8
Briarwood,-73.81174822458634,40.71093547252271,2339.0,1.3
Brighton Beach,-73.96509448785335,40.57682506566604,1000.0,1.55
Broad Channel,-73.8200548911032,40.60302658351238,13.0,1.6
Broadway Junction,-73.90331684852598,40.67786104769531,0.0,1.5
Bronxdale,-73.86172577555115,40.85272297633017,920.0,1.65
Brooklyn Heights,-73.99378225496423,40.69586372272408,15627.0,1.8
Brookville,-73.75175310731153,40.660003227336134,0.0,1.35
Brownsville,-73.91023536176606,40.66394994339755,2230.0,1.5
Bulls Head,-74.15940948657122,40.6095918004203,0.0,1.6
Bushwick,-73.92525797487045,40.69811611017901,39318.0,1.6
Butler Manor,-74.22950350260027,40.50608165346305,0.0,1.95
Cambria Heights,-73.73526873708028,40.69277463916085,516.0,1.45
Canarsie,-73.90209269778966,40.63556432797428,3680.0,1.4
Carnegie Hill,-73.95325646837112,40.7826825671257,0.0,1.85
Carroll Gardens,-73.99465372828006,40.68054023107649,8554.0,1.9
Castle Hill,-73.84802729582734,40.81901437698832,1045.0,1.6
Castleton Corners,-74.11918058534843,40.61333593766742,0.0,1.65
Central Harlem,-73.94321112603905,40.81597606742414,26096.0,1.9
Charleston,-74.23215775896526,40.53053148283314,8.0,1.85
Chelsea,-74.18956045519691,40.59472602746296,114927.0,1.7
Chinatown,-73.99427936255978,40.71561842231432,8706.0,1.35
City Island,-73.78648845267412,40.847246704918135,85.0,2.05
City Line,-73.86797598081334,40.67856995727479,0.0,1.25
Civic Center,-74.00541529873355,40.71522892046282,77462.0,1.4
Claremont Village,-73.90119903387668,40.83142834161548,920.0,1.5
Clason Point,-73.85414416189265,40.80655112003589,0.0,1.45
Clifton,-74.072642445484,40.61917845202843,113.0,1.85
Clinton,-73.99611936309479,40.75910089146212,83668.0,1.8
Clinton Hill,-73.96784306216367,40.69322942188151,17756.0,1.75
Co-op City,-73.829939108124,40.87429419303012,930.0,1.6
Cobble Hill,-73.99856139218463,40.687919722485574,4989.0,2.05
College Point,-73.84304528896125,40.78490274926021,799.0,1.8
Concord,-74.08402364740357,40.6044731896879,0.0,1.7
Concourse,-73.91558941773444,40.83428380733851,5401.0,1.5
Concourse Village,-73.91584652759009,40.824780490842905,1864.0,1.5
Coney Island,-73.98868295821637,40.57429256471601,1659.0,1.4
Corona,-73.85682497345258,40.74238175015667,2098.0,1.45
Country Club,-73.8240992675385,40.844245936947374,119.0,1.6
Crown Heights,-73.94329119073582,40.67082917695294,28666.0,1.7
Cypress Hills,-73.87661596457295,40.68239101144211,1373.0,1.15
Ditmas Park,-73.9610131246678,40.64367518334098,9858.0,1.8
Dongan Hills,-74.0963990531252,40.58867294819928,157.0,1.8
Douglaston,-73.74249820727329,40.76684609790763,645.0,1.85
Downtown,-73.98346337431099,40.69084402109802,11381.0,1.5
Dumbo,-73.98875280745041,40.70317632822693,10350.0,1.95
Dyker Heights,-74.01931375636022,40.61921945772264,2060.0,1.65
East Elmhurst,-73.86704147658772,40.7640732388309,2942.0,1.3
East Flatbush,-73.93610256185836,40.64171776668961,5816.0,1.7
East Harlem,-73.94418223148523,40.79224946663033,22724.0,1.5
East New York,-73.88069863917366,40.669925700847045,4505.0,1.5
East Tremont,-73.88735617532338,40.84269615786053,1155.0,1.5
East Village,-73.98222616506415,40.727846777270244,75598.0,1.85
East Williamsburg,-73.93885815269195,40.70849241041548,23267.0,1.75
Eastchester,-73.82780644716412,40.887555677350775,677.0,1.35
Edenwald,-73.84808271877169,40.884561303037316,0.0,1.55
Edgemere,-73.77613282391705,40.595641807368494,0.0,1.5
Edgewater Park,-73.81388514428619,40.82198611816349,1020.0,1.7
Egbertville,-74.12727240604946,40.57911874296122,0.0,1.85
Elm Park,-74.1418167896889,40.630146741193826,0.0,1.5
Elmhurst,-73.88165622288388,40.744048505122024,7036.0,1.45
Eltingville,-74.1643308041936,40.542230747450745,11.0,1.8
Emerson Hill,-74.09776206972522,40.606794394801,195.0,1.8
Erasmus,-73.94817709920184,40.64692606658579,2253.0,1.75
Far Rockaway,-73.75497968043872,40.603134432500894,130.0,1.65
Fieldston,-73.90564259591682,40.89543742690383,3070.0,1.75
Financial District,-74.01066544521271,40.707107107270474,42180.0,1.7
Flatbush,-73.95840106533903,40.63632589026677,9858.0,1.85
Flatiron,-73.99094710528259,40.73967304763842,42133.0,1.85
Flatlands,-73.92911302644673,40.630446043757466,3567.0,1.8
Floral Park,-73.70884705889245,40.74137842194544,0.0,1.5
Flushing,-73.83177300329581,40.76445419697846,5072.0,1.8
Fordham,-73.89642655981623,40.86099679638654,625.0,1.4
Forest Hills,-73.84447500788983,40.72526378216503,8968.0,1.95
Forest Hills Gardens,-73.8410221123401,40.714611081511705,153.0,2.0
Fort Greene,-73.97290574369092,40.68852726018977,15427.0,1.9
Fort Hamilton,-74.03197914537985,40.61476812694226,0.0,1.8
Fox Hills,-74.08173992211962,40.61731079252983,0.0,1.6
Fresh Meadows,-73.78271337003264,40.7343944653313,916.0,1.7
Fulton Ferry,-73.99550751888415,40.70328109093014,0.0,1.9
Georgetown,-73.91607483951323,40.623845244784185,0.0,1.75
Gerritsen Beach,-73.93010170691196,40.590848433902046,0.0,1.65
Glen Oaks,-73.71548118999145,40.74944079974332,426.0,1.8
Glendale,-73.87074167435605,40.70276242967838,1982.0,1.65
Gowanus,-73.99444087145339,40.67393114318715,7860.0,1.85
Gramercy,-73.98137594833541,40.737209832715,47060.0,1.65
Graniteville,-74.15315246387762,40.62017151223189,0.0,1.55
Grant City,-74.10585598545434,40.57621558711788,0.0,1.85
Grasmere,-74.0766743627905,40.598268359599906,0.0,1.85
Gravesend,-73.97347087708445,40.59526001306593,883.0,1.5
Great Kills,-74.14932381490992,40.549480228713605,26.0,1.9
Greenpoint,-73.95424093127394,40.7302009848647,27573.0,1.8
Greenridge,-74.17079414786092,40.55529523617321,0.0,1.8
Greenwich Village,-73.99991402945902,40.72693288536128,78811.0,1.6
Grymes Hill,-74.08724819983729,40.624184791313006,113.0,1.6
Hamilton Heights,-73.94968791883366,40.823604284811935,7165.0,1.6
Hammels,-73.80553002968719,40.58733774018741,241.0,1.75
Heartland Village,-74.15902208156602,40.58913894875281,189.0,1.7
High  Bridge,-73.92610209358129,40.836623010706056,1505.0,1.7
Highland Park,-73.890345709872,40.681998934517296,153.0,1.5
Hillcrest,-73.79760300912672,40.723824901829204,1976.0,1.5
