,name,longitude,latitude,avg_test_score
0,Tottenville,-74.24656934,40.50533376,45.43590132677051
1,Charleston,-74.23215776,40.53053148,44.48283768564602
2,Richmond Valley,-74.22957081,40.51954146,45.27060713920135
3,Butler Manor,-74.2295035,40.50608165,45.421998621150856
4,Pleasant Plains,-74.21983107,40.52469938,45.195925103434895
5,Sandy Ground,-74.21776636,40.54113992,44.309993952887716
6,Rossville,-74.21572851,40.54940401,44.174871816396646
7,Woodrow,-74.20524582,40.54196762,44.273275585948355
8,Prince's Bay,-74.20152556,40.52626407,45.17480559803948
9,Huguenot,-74.19174106,40.53191192,45.09405409303519
10,Travis,-74.19073718,40.58631375,43.130248901044055
11,Bloomfield,-74.18725638,40.60577868,40.701225088178084
12,Howland Hook,-74.18622332,40.63843284,40.07778550882971
13,Arden Heights,-74.18588675,40.54928582,44.12198505395969
14,Annadale,-74.17854866,40.53811417,45.011855562972535
15,Port Ivory,-74.17464533,40.63968298,39.45956904228724
16,Greenridge,-74.17079415,40.55529524,44.00606429198014
17,Arlington,-74.1651042,40.635325099999996,38.72852865300881
18,New Springville,-74.16496031,40.59425238,42.29310997624306
19,Eltingville,-74.1643308,40.54223075,45.007846812425186
20,Bulls Head,-74.15940949,40.6095918,40.97217175470486
21,Heartland Village,-74.15902208,40.58913895,42.533793935755426
22,Graniteville,-74.15315246,40.62017151,38.14393294695921
23,Mariner's Harbor,-74.15008537,40.63254639,36.758035864261124
24,Great Kills,-74.14932381,40.54948023,44.989255081336815
25,Elm Park,-74.14181679,40.63014674,34.866508778493866
26,Bay Terrace,-74.13916622,40.55398801,45.043377178539025
27,Lighthouse Hill,-74.13792664,40.57650629,43.589444060407196
28,Richmond Town,-74.1340573,40.56960594,44.577794172553396
29,Westerleigh,-74.13304144,40.62109047,35.759610599251765
30,Willowbrook,-74.13208447,40.60370693,41.33803703625144
31,Egbertville,-74.12727241,40.57911874,43.855715405472594
32,Oakwood,-74.12156594,40.55846224,45.41606514971584
33,Manor Heights,-74.120594,40.60180958,42.69811157764228
34,Castleton Corners,-74.11918059,40.61333594,41.257910822583554
35,New Dorp,-74.11647944,40.57257232,45.17476315873813
36,Todt Hill,-74.11132882,40.59706852,44.12528709749191
37,West Brighton,-74.10718178,40.63187893,40.49042838293163
38,Grant City,-74.10585599,40.57621559,45.63843691979515
39,New Dorp Beach,-74.10432707,40.56425549,45.99208864414233
40,Randall Manor,-74.09805062,40.63563001,42.148874452353866
41,Emerson Hill,-74.09776207,40.60679439,45.79595026654645
42,Silver Lake,-74.09629029,40.61919311,45.48789940503138
43,Midland Beach,-74.09348266,40.57352691,46.41333955187838
44,Old Town,-74.08751118,40.59632891,46.105218608359216
45,Grymes Hill,-74.0872482,40.62418479,44.399871817832114
46,New Brighton,-74.08701651,40.64061456,43.315044721164845
47,Concord,-74.08402365,40.60447319,46.31455390109585
48,Fox Hills,-74.08173992,40.61731079,46.31693473526458
49,Tompkinsville,-74.08055352,40.63731607,44.16702617042945
50,Park Hill,-74.08015735,40.60919044,46.5821867155844
51,South Beach,-74.07955293,40.58024741,47.25108922744227
52,St. George,-74.07935313,40.64498157,43.886521944574156
53,Stapleton,-74.07790193,40.62692763,44.96485007590366
54,Grasmere,-74.07667436,40.59826836,46.96521390227515
55,Clifton,-74.07264245,40.61917845,47.289129340619375
56,Rosebank,-74.06980527,40.61530495,47.69154861198822
57,Arrochar,-74.06712363,40.59631257,48.440916015210796
58,Shore Acres,-74.06667766,40.60971934,48.1063287963751
59,Battery Park City,-74.01686931,40.71193198,46.84953966862075
60,Financial District,-74.01066545,40.70710711,41.335844064779515
61,Sea Gate,-74.00787311,40.57637538,52.5726705737438
62,West Village,-74.00617998,40.73443394,47.166098572894
63,Civic Center,-74.0054153,40.71522892,47.22488301321913
64,Soho,-74.00065667,40.72218384,46.23241945828355
65,Hudson Yards,-74.00011136,40.75665808,47.60392067174204
66,Greenwich Village,-73.99991403,40.72693289,46.13090210506188
67,Cobble Hill,-73.99856139,40.68791972,25.534787220098778
68,Fulton Ferry,-73.99550752,40.70328109,28.94636715509402
69,Carroll Gardens,-73.99465373,40.68054023,29.93009370826806
70,Gowanus,-73.99444087,40.67393114,32.31307388056293
71,Flatiron,-73.99094711,40.73967305,44.55782469021644
72,Dumbo,-73.98875281,40.70317633,27.745490133803305
73,Midtown South,-73.98871313,40.74850966,46.4852163580198
74,Coney Island,-73.98868296,40.57429256,53.31937697744492
75,Noho,-73.98843368,40.72325902,37.71271010334835
76,Lincoln Square,-73.98533777,40.77352889,48.566382263353695
77,Downtown,-73.98346337,40.69084402,28.139840721046177
78,Midtown,-73.98166883,40.7546911,46.567550103342604
79,Gramercy,-73.98137595,40.73720983,46.69641330750541
80,Murray Hill,-73.97833208,40.74830308,42.77208625505371
81,Stuyvesant Town,-73.9740517,40.73099955,36.74532882741016
