Neighborhood,Borough,Median Sale Price
Allerton,Bronx,"$312,000 "
Annadale,Staten Island,"$649,500 "
Arden Heights,Staten Island,"$578,500 "
Arrochar,Staten Island,"$560,000 "
Arverne,Queens,"$410,500 "
Astoria Heights / Upper Ditmars,Queens,"$490,000 "
Auburndale,Queens,"$825,000 "
Bath Beach,Brooklyn,"$660,500 "
Battery Park City,Manhattan,"$762,900 "
Bay Ridge,Brooklyn,"$675,000 "
Bay Terrace,Staten Island,"$600,000 "
Bay Terrace,Queens,"$455,000 "
Baychester,Bronx,"$520,000 "
Bayside,Queens,"$792,500 "
Bedford Park,Bronx,"$217,500 "
Bedford-Stuyvesant,Brooklyn,"$835,000 "
Belle Harbor,Queens,"$895,000 "
Bellerose,Queens,"$370,000 "
Belmont,Bronx,"$365,040 "
Bensonhurst,Brooklyn,"$707,500 "
Bergen Beach,Brooklyn,"$843,000 "
Boerum Hill,Brooklyn,"$1,325,000 "
Borough Park,Brooklyn,"$824,782 "
Breezy Point,Queens,"$692,500 "
Briarwood,Queens,"$320,000 "
Brighton Beach,Brooklyn,"$350,000 "
Broad Channel,Queens,"$460,000 "
Bronxdale,Bronx,"$175,000 "
Brooklyn Heights,Brooklyn,"$1,102,500 "
Brookville,Queens,"$577,500 "
Brownsville,Brooklyn,"$450,000 "
Bulls Head,Staten Island,"$500,000 "
Bushwick,Brooklyn,"$740,000 "
Cambria Heights,Queens,"$565,000 "
Canarsie,Brooklyn,"$425,000 "
Carnegie Hill,Manhattan,"$1,500,000 "
Carroll Gardens,Brooklyn,"$1,275,900 "
Castleton Corners,Staten Island,"$611,000 "
Central Midtown,Manhattan,"$830,000 "
Central Park South,Manhattan,"$2,147,500 "
Charleston,Staten Island,"$607,500 "
Chelsea,Manhattan,"$1,077,600 "
Chelsea - Travis,Staten Island,"$499,999 "
Chinatown,Manhattan,"$1,733,179 "
City Island,Bronx,"$556,500 "
Civic Center,Manhattan,"$2,760,000 "
Clason Point,Bronx,"$430,000 "
Clifton,Staten Island,"$600,000 "
Clinton - Hell's Kitchen,Manhattan,"$779,500 "
Clinton Hill,Brooklyn,"$815,000 "
Cobble Hill,Brooklyn,"$1,175,000 "
College Point,Queens,"$684,000 "
Columbia Street Waterfront District,Brooklyn,"$1,247,500 "
Concord,Staten Island,"$519,500 "
Concourse,Bronx,"$235,000 "
Concourse Village,Bronx,"$320,000 "
Coney Island,Brooklyn,"$440,000 "
Corona,Queens,"$291,500 "
Crown Heights,Brooklyn,"$850,000 "
Ditmars - Steinway,Queens,"$812,500 "
Ditmas Park,Brooklyn,"$580,000 "
Dongan Hills,Staten Island,"$577,500 "
Douglaston,Queens,"$705,000 "
Downtown Brooklyn,Brooklyn,"$925,000 "
Downtown Flushing,Queens,"$420,000 "
DUMBO,Brooklyn,"$1,342,500 "
Dyker Heights,Brooklyn,"$834,000 "
East Elmhurst,Queens,"$765,000 "
East Flatbush,Brooklyn,"$535,000 "
East Flushing,Queens,"$895,000 "
East Harlem,Manhattan,"$790,000 "
East New York,Brooklyn,"$527,500 "
East New York,Queens,"$316,050 "
East Village,Manhattan,"$1,049,500 "
Eastchester,Bronx,"$335,000 "
Edenwald,Bronx,"$467,000 "
Elm Park,Staten Island,"$510,668 "
Elmhurst,Queens,"$450,000 "
Eltingville,Staten Island,"$697,500 "
Far Rockaway,Queens,"$506,475 "
Fieldston,Bronx,"$322,500 "
Financial District,Manhattan,"$967,500 "
Fiske Terrace,Brooklyn,"$1,337,500 "
Flatbush,Brooklyn,"$795,000 "
Flatiron District,Manhattan,"$1,865,000 "
Flatlands,Brooklyn,"$600,000 "
Floral Park,Queens,"$732,500 "
Fordham,Bronx,"$155,000 "
Forest Hills,Queens,"$429,000 "
Fort Greene,Brooklyn,"$890,500 "
Foxhurst,Bronx,"$150,000 "
Fresh Meadows,Queens,"$854,000 "
Garment District,Manhattan,"$1,900,000 "
Georgetown,Brooklyn,"$552,500 "
Gerritsen Beach,Brooklyn,"$561,000 "
Glen Oaks,Queens,"$330,500 "
Glendale,Queens,"$667,000 "
Gowanus,Brooklyn,"$1,199,000 "
Gramercy Park,Manhattan,"$1,119,375 "
Graniteville,Staten Island,"$442,500 "
Grant City,Staten Island,"$712,000 "
Grasmere,Staten Island,"$661,000 "
Gravesend,Brooklyn,"$631,337 "
Great Kills,Staten Island,"$547,000 "
Greenpoint,Brooklyn,"$1,147,000 "
Greenwich Village,Manhattan,"$1,165,000 "
Greenwood Heights,Brooklyn,"$1,130,000 "
Grymes Hill - Silver Lake,Staten Island,"$450,000 "
Hamilton Beach,Queens,"$530,000 "
Harlem,Manhattan,"$705,000 "
Heartland Village,Staten Island,"$356,000 "
High Bridge,Bronx,"$70,000 "
Hollis,Queens,"$600,000 "
Hollis Hills,Queens,"$830,000 "
Homecrest,Brooklyn,"$293,809 "
Hudson Square,Manhattan,"$2,906,012 "
Hudson Yards,Manhattan,"$5,504,250 "
Huguenot,Staten Island,"$793,750 "
Hunters Point,Queens,"$860,000 "
Inwood,Manhattan,"$535,000 "
Jackson Heights,Queens,"$366,277 "
Jamaica,Queens,"$508,000 "
Jamaica Estates,Queens,"$250,000 "
Jamaica Hills,Queens,"$275,000 "
Kensington,Brooklyn,"$550,000 "
Kew Gardens,Queens,"$334,000 "
Kew Gardens Hills,Queens,"$290,000 "
Kingsbridge,Bronx,"$620,000 "
Kingsbridge Heights - Jerome Park,Bronx,"$243,611 "
Kips Bay,Manhattan,"$597,000 "
Koreatown,Manhattan,"$645,000 "
Laconia,Bronx,"$514,950 "
Laurelton,Queens,"$510,000 "
Lenox Hill,Manhattan,"$1,150,000 "
LIC,Queens,"$460,000 "
Lighthouse Hill,Staten Island,"$1,200,000 "
Lincoln Square,Manhattan,"$1,040,000 "
Lindenwood,Queens,"$300,000 "
Little Italy,Manhattan,"$1,925,000 "
Little Neck,Queens,"$285,000 "
Longwood,Bronx,"$200,000 "
Lower East Side,Manhattan,"$728,000 "
Madison,Brooklyn,"$800,000 "
Malba,Queens,"$905,000 "
Manhattan Beach,Brooklyn,"$1,360,000 "
Manhattan Valley,Manhattan,"$800,000 "
Manor Heights,Staten Island,"$560,000 "
Marine Park,Brooklyn,"$656,500 "
Mariner's Harbor,Staten Island,"$425,000 "
Maspeth,Queens,"$623,678 "
Meiers Corners,Staten Island,"$625,000 "
Middle Village,Queens,"$747,000 "
Midland Beach,Staten Island,"$556,982 "
Midwood,Brooklyn,"$810,000 "
Mill Basin,Brooklyn,"$710,000 "
Morningside Heights,Manhattan,"$670,000 "
Morris Heights,Bronx,"$900,000 "
Morris Park,Bronx,"$611,000 "
Morrisania,Bronx,"$345,000 "
