name,pop_density
Allerton,27278.07
Annadale,5889.53
Arden Heights,14854.7
Arlington,10275.86
Arrochar,11168.03
Arverne,19218.47
Astoria,52548.94
Astoria Heights,42310.71
Auburndale,16455.28
Bath Beach,45378.38
Battery Park City,68332.35
Bay Ridge,32735.27
Bay Terrace,13246.99
Baychester,26643.75
Bayside,14730.34
Bayswater,29771.65
Bedford Park,108062.96
Bedford Stuyvesant,67585.47
Beechhurst,9663.0
Bellaire,14144.0
Belle Harbor,7844.26
Bellerose,13961.11
Belmont,59106.12
Bensonhurst,52533.58
Bergen Beach,18545.78
Blissville,3130.39
Bloomfield,3585.03
Boerum Hill,45659.8
Borough Park,51306.19
Breezy Point,7844.26
Briarwood,41677.14
Brighton Beach,56151.61
Broad Channel,7844.26
Broadway Junction,0.0
Bronxdale,71877.78
Brooklyn Heights,65994.44
Brookville,14320.0
Brownsville,43791.45
Bulls Head,7232.0
Bushwick,56957.31
Butler Manor,3257.78
Cambria Heights,17673.95
Canarsie,30232.65
Carnegie Hill,75573.61
Carroll Gardens,27279.38
Castle Hill,29569.89
Castleton Corners,9869.0
Central Harlem,95355.91
Charleston,4557.17
Chelsea,58263.16
Chinatown,82242.31
City Island,18931.94
City Line,49230.3
Civic Center,48705.56
Claremont Village,108232.0
Clason Point,29569.89
Clifton,15911.11
Clinton,80213.64
Clinton Hill,53033.78
Co-op City,32674.83
Cobble Hill,65994.44
College Point,13674.03
Concord,10349.0
Concourse,76949.56
Concourse Village,99167.69
Coney Island,22388.49
Corona,79369.44
Country Club,18931.94
Crown Heights,64942.93
Cypress Hills,49230.3
Ditmas Park,43709.0
Dongan Hills,11019.58
Douglaston,10367.35
Downtown,45659.8
Dumbo,45659.8
Dyker Heights,40971.96
East Elmhurst,26411.27
East Flatbush,41978.05
East Harlem,83640.755
East New York,32111.905
East Tremont,64008.7
East Village,110128.21
East Williamsburg,26133.57
Eastchester,26643.75
Edenwald,26643.75
Edgemere,19218.47
Edgewater Park,14395.58
Egbertville,0.0
Elm Park,15894.0
Elmhurst,50328.125
Eltingville,5889.53
Emerson Hill,4838.16
Erasmus,54528.85
Far Rockaway,29771.65
Fieldston,15998.3
Financial District,49503.23
Flatbush,64261.11
Flatiron,58263.16
Flatlands,36184.62
Floral Park,15018.9
Flushing,33381.670000000006
Fordham,115696.695
Forest Hills,42351.69
Forest Hills Gardens,0.0
Fort Greene,54874.58
Fort Hamilton,552.0
Fox Hills,15911.11
Fresh Meadows,19500.0
Fulton Ferry,47588.0
Georgetown,18545.78
Gerritsen Beach,28707.93
Glen Oaks,15018.9
Glendale,33034.26
Gowanus,48774.34
Gramercy,98137.04
Graniteville,10275.86
Grant City,11502.0
Grasmere,11168.03
Gravesend,27048.21
Great Kills,12998.13
Greenpoint,27207.87
Greenridge,11733.04
Greenwich Village,76507.0
Grymes Hill,15911.11
Hamilton Heights,90534.48
Hammels,19218.47
Heartland Village,4838.16
High  Bridge,65472.88
Highland Park,33912.0
Hillcrest,25860.43
Hollis,25260.98
Holliswood,17840.52
Homecrest,41497.22
Howard Beach,12363.76
Howland Hook,1613.0
Hudson Yards,58263.16
Huguenot,5889.53
Hunters Point,18977.93
Hunts Point,14708.43
Inwood,82076.56
Jackson Heights,57003.49
Jamaica Center,32208.24
Jamaica Estates,17840.52
Jamaica Hills,41677.14
Kensington,61224.56
Kew Gardens,30237.84
Kew Gardens Hills,27601.47
Kingsbridge,37497.59
Kingsbridge Heights,71791.49
Laurelton,18140.56
Lefrak City,47616.0
Lenox Hill,106603.9
Lighthouse Hill,4838.16
Lincoln Square,112140.35
Lindenwood,12363.76
Little Italy,48705.56
Little Neck,10367.35
Long Island City,22545.24
Longwood,73615.79
Lower East Side,81950.0
Madison,41955.1
Malba,5634.0
Manhattan Beach,28707.93
Manhattan Terrace,42718.0
Manhattan Valley,88223.0
Manhattanville,62550.0
Manor Heights,0.0
Marble Hill,82076.56
Marine Park,18545.78
Mariner's Harbor,10275.86
Maspeth,25042.956666666665
Melrose,67377.05
Middle Village,20020.29
Midland Beach,10657.29
Midtown,53269.235
Midtown South,25698.15
Midwood,41725.0
Mill Basin,18545.78
Mill Island,9519.13
Morningside Heights,76112.5
Morris Heights,75281.58
Morris Park,21703.08
Morrisania,67377.05
Mott Haven,52189.89
Mount Eden,97042.0
Mount Hope,102030.19
Murray Hill,61260.575
Neponsit,5560.0
New Brighton,12914.93
New Dorp,10657.29
New Dorp Beach,10240.0
New Lots,22176.0
New Springville,3585.03
Noho,75072.0
North Corona,84398.46
North Riverdale,15998.3
North Side,55551.92
Norwood,71485.71
Oakland Gardens,16306.01
Oakwood,10191.54
Ocean Hill,51118.06
Ocean Parkway,46521.655
Old Town,11019.58
Olinville,52095.38
Ozone Park,26628.89
Paerdegat Basin,0.0
Park Hill,13647.0
Park Slope,48774.34
Parkchester,91872.73
Pelham Bay,18931.94
Pelham Gardens,27278.07
Pelham Parkway,34467.47
Pleasant Plains,2854.0
Pomonok,25860.43
Port Ivory,10275.86
Port Morris,35223.33
Port Richmond,14727.48
Prince's Bay,5889.53
Prospect Heights,60272.97
Prospect Lefferts Gardens,60122.12
Prospect Park South,35893.0
Queens Village,21894.78
Queensboro Hill,21227.37
Queensbridge,22545.24
Randall Manor,19255.0
Ravenswood,22545.24
Red Hook,27279.38
Rego Park,39184.72
Remsen Village,46970.94
Richmond Hill,35668.85
Richmond Town,3811.0
Richmond Valley,4557.17
Ridgewood,42045.86
Riverdale,15998.3
Rochdale,20963.0
Rockaway Beach,8800.0
Rockaway Park,7844.26
Roosevelt Island,106603.9
Rosebank,15138.32
Rosedale,12072.4
Rossville,9386.27
Roxbury,27.17
Rugby,46970.94
Sandy Ground,0.0
Schuylerville,14395.58
Sea Gate,22388.49
Sheepshead Bay,28707.93
Shore Acres,628.0
Silver Lake,10265.68
Soho,48705.56
Somerville,5189.5
Soundview,46210.805
South Beach,11019.58
South Jamaica,30621.68
South Ozone Park,27251.35
South Side,55551.92
Springfield Gardens,20417.845
Spuyten Duyvil,37497.59
St. Albans,19119.06
St. George,15564.18
Stapleton,15138.32
Starrett City,29888.1
Steinway,22818.36
Stuyvesant Town,111675.0
Sunnyside,18977.93
Sunnyside Gardens,27448.0
Sunset Park,47956.09
Sutton Place,71958.0
Throgs Neck,14395.58
Todt Hill,4838.16
Tompkinsville,16378.0
Tottenville,4557.17
Travis,3585.03
Tribeca,48705.56
Tudor City,63262.0
Turtle Bay,80840.32
Unionport,33074.42
University Heights,75281.58
Upper East Side,75573.61
Upper West Side,105872.36
Utopia,19500.0
Van Nest,21703.08
Vinegar Hill,45659.8
Wakefield,31269.23
Washington Heights,99892.83
Weeksville,65284.0
West Brighton,35607.895000000004
West Farms,65405.56
West Village,72658.89
Westchester Square,27388.75
Westerleigh,10800.0
Whitestone,12802.02
Williamsbridge,52095.38
Williamsburg,80542.86
Willowbrook,5631.01
Windsor Terrace,45518.0
Wingate,60122.12
Woodhaven,45396.24
Woodlawn,31269.23
Woodrow,9386.27
Woodside,41526.73
