name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score,Median Sale Price - na has median
Allerton,-73.85931863,40.86578788,860,1.5,28707,511.5,27.25998289,312000
Annadale,-74.17854866,40.53811417,11,1.75,27073,263.7,45.01185556,649500
Arden Heights,-74.18588675,40.54928582,10,1.7,25117,482.5,44.12198505,578500
Arlington,-74.1651042,40.6353251,0,1.55,29715,482.5,38.72852865,590000
Arrochar,-74.06712363,40.59631257,145,1.75,15659,317.3,48.44091602,560000
Arverne,-73.79199233,40.58914394,241,1.8,34264,447.7,24.95859239,410500
Astoria,-73.91565374,40.76850859,18384,1.8,83957,1655.3,39.51345877,755000
Astoria Heights,-73.89467996,40.77031739,97,1.5,28331,482.5,37.98657521,490000
Auburndale,-73.79176244,40.76172955,647,1.7,20098,380.3,53.16248418,825000
Bath Beach,-73.99875221,40.5995187,1629,1.35,29252,388.2,46.14276887,660500
Battery Park City,-74.01686931,40.71193198,30045,1.9,29894,830.8,46.84953967,762900
Bay Ridge,-74.03062069,40.62580107,7586,1.85,79956,285.9,56.5072858,675000
Bay Terrace,-73.77680223,40.78284281,685,1.7,22242,482.5,45.04337718,600000
Baychester,-73.8357976,40.86685811,0,1.6,34969,261.6,35.92725551,520000
Bayside,-73.77427363,40.76604063,1964,1.9,44090,759.3,47.06106613,792500
Bayswater,-73.76596781,40.61132169,0,1.35,49201,482.5,24.07660261,590000
Bedford Park,-73.88551218,40.87018516,18904,1.35,54872,1179.1,33.38601616,217500
Bedford Stuyvesant,-73.94178489,40.68723161,0,1.9,64970,482.5,29.02899892,835000
Beechhurst,-73.80436452,40.7927814,0,1.65,19559,482.5,50.12660997,590000
Bellaire,-73.73889199,40.73301404,0,1.55,25193,482.5,50.66422901,590000
Belle Harbor,-73.8540175,40.57615557,0,1.8,27365,192.5,46.98597889,895000
Bellerose,-73.72012815,40.72857318,713,1.5,24876,605.8,50.1315233,370000
Belmont,-73.88845196,40.8572771,1692,1.65,26673,487.2,39.14396152,365040
Bensonhurst,-73.99517998,40.6110089,4115,1.55,147456,338,45.87215727,707500
Bergen Beach,-73.89855634,40.61514955,0,1.8,44086,259.4,56.01749025,843000
Blissville,-73.93244235,40.73725072,0,1.65,475,482.5,45.00429793,590000
Bloomfield,-74.18725638,40.60577868,195,1.45,39452,288.6,40.70122509,590000
Boerum Hill,-73.98374824,40.68568291,13985,1.75,32672,474.7,50.75011294,1325000
Borough Park,-73.99049823,40.63313051,3653,1.65,103706,148.8,40.6505171,1130000
Breezy Point,-73.92551197,40.55740129,42,1.8,27365,235.8,56.81673993,692500
Briarwood,-73.81174822,40.71093547,2339,1.3,38907,227.7,28.29774746,320000
Brighton Beach,-73.96509449,40.57682507,1000,1.55,35396,451.5,63.495824,350000
Broad Channel,-73.82005489,40.60302658,13,1.6,27365,205.2,33.73310855,460000
Broadway Junction,-73.90331685,40.67786105,0,1.5,0,482.5,35.92693176,590000
Bronxdale,-73.86172578,40.85272298,920,1.65,34923,482.5,31.65386577,175000
Brooklyn Heights,-73.99378225,40.69586372,15627,1.8,22718,406.1,11.45091132,1102500
Brookville,-73.75175311,40.66000323,0,1.35,19541,482.5,32.24693354,577500
Brownsville,-73.91023536,40.66394994,2230,1.5,58700,677.1,33.65494179,450000
Bulls Head,-74.15940949,40.6095918,0,1.6,19826,482.5,40.97217175,500000
Bushwick,-73.92525797,40.69811611,39318,1.6,124973,468.6,24.68119214,740000
Butler Manor,-74.2295035,40.50608165,0,1.95,1220,482.5,45.42199862,590000
Cambria Heights,-73.73526874,40.69277464,516,1.45,19810,271.3,39.10003936,565000
Canarsie,-73.9020927,40.63556433,3680,1.4,84375,259.5,27.21754503,425000
Carnegie Hill,-73.95325647,40.78268257,0,1.85,62436,482.5,43.91382753,1500000
Carroll Gardens,-73.99465373,40.68054023,8554,1.9,38340,428.1,29.93009371,1275900
Castle Hill,-73.8480273,40.81901438,1045,1.6,52219,247,23.14875211,590000
Castleton Corners,-74.11918059,40.61333594,0,1.65,13595,482.5,41.25791082,611000
Central Harlem,-73.94321113,40.81597607,26096,1.9,113879,1673.8,30.4184092,705000
Charleston,-74.23215776,40.53053148,8,1.85,20822,297.5,44.48283769,775000
Chelsea,-74.18956046,40.59472603,114927,1.7,62995,1098.6,42.9471992,499999
Chinatown,-73.99427936,40.71561842,8706,1.35,50110,554.4,35.70333663,1733179
City Island,-73.78648845,40.8472467,85,2.05,26862,233.4,39.38746845,556500
City Line,-73.86797598,40.67856996,0,1.25,49092,482.5,39.79224209,590000
Civic Center,-74.0054153,40.71522892,77462,1.4,39749,482.5,47.22488301,2760000
Claremont Village,-73.90119903,40.83142834,920,1.5,29613,477.3,28.22497636,590000
Clason Point,-73.85414416,40.80655112,0,1.45,52219,247,34.74220477,430000
Clifton,-74.07264245,40.61917845,113,1.85,21147,482.5,47.28912934,600000
Clinton,-73.99611936,40.75910089,83668,1.8,43240,482.5,46.06878741,779500
Clinton Hill,-73.96784306,40.69322942,17756,1.75,34042,637.6,41.2289504,815000
Co-op City,-73.82993911,40.87429419,930,1.6,84428,320.6,41.1901372,590000
Cobble Hill,-73.99856139,40.68791972,4989,2.05,22718,428.1,25.53478722,1175000
College Point,-73.84304529,40.78490275,799,1.8,22842,223.5,40.32702496,684000
Concord,-74.08402365,40.60447319,0,1.7,10258,482.5,46.3145539,519500
Concourse,-73.91558942,40.83428381,5401,1.5,100041,551,26.15937431,235000
Concourse Village,-73.91584653,40.82478049,1864,1.5,60622,482.5,25.38094777,320000
Coney Island,-73.98868296,40.57429256,1659,1.4,33116,194.5,53.31937698,440000
Corona,-73.85682497,40.74238175,2098,1.45,54870,213.8,23.84714565,291500
Country Club,-73.82409927,40.84424594,119,1.6,26862,211,37.50247353,645000
Crown Heights,-73.94329119,40.67082918,28666,1.7,144335,971.5,50.30614449,850000
Cypress Hills,-73.87661596,40.68239101,1373,1.15,49092,549.3,38.86445325,590000
Ditmas Park,-73.96101312,40.64367518,9858,1.8,3058,306.7,41.58686039,580000
Dongan Hills,-74.09639905,40.58867295,157,1.8,23926,482.5,36.16373553,577500
Douglaston,-73.74249821,40.7668461,645,1.85,24548,634.7,50.77271855,705000
Downtown,-73.98346337,40.69084402,11381,1.5,32672,406.1,28.13984072,925000
Dumbo,-73.98875281,40.70317633,10350,1.95,32672,406.1,27.74549013,1342500
Dyker Heights,-74.01931376,40.61921946,2060,1.65,40876,220.1,41.00778796,834000
East Elmhurst,-73.86704148,40.76407324,2942,1.3,22167,333.1,33.97468029,765000
East Flatbush,-73.93610256,40.64171777,5816,1.7,53194,638.4,27.38524605,535000
East Harlem,-73.94418223,40.79224947,22724,1.5,114985,940.5,26.57731268,790000
East New York,-73.88069864,40.6699257,4505,1.5,116101,917.9,39.58872701,316050
East Tremont,-73.88735618,40.84269616,1155,1.5,41352,482.5,31.66745653,50000
East Village,-73.98222617,40.72784678,75598,1.85,42941,578.3,31.95795124,1049500
East Williamsburg,-73.93885815,40.70849241,23267,1.75,33018,447.3,34.78641661,590000
Eastchester,-73.82780645,40.88755568,677,1.35,34969,482.5,32.59003604,335000
Edenwald,-73.84808272,40.8845613,0,1.55,34969,624.9,17.29767527,467000
Edgemere,-73.77613282,40.59564181,0,1.5,34264,444.4,13.97760809,590000
Edgewater Park,-73.81388514,40.82198612,1020,1.7,43940,482.5,48.57135255,590000
Egbertville,-74.12727241,40.57911874,0,1.85,0,482.5,43.85571541,590000
Elm Park,-74.14181679,40.63014674,0,1.5,28026,346.2,34.86650878,510668
Elmhurst,-73.88165622,40.74404851,7036,1.45,113129,228,44.59144604,450000
Eltingville,-74.1643308,40.54223075,11,1.8,27073,482.5,45.00784681,697500
Emerson Hill,-74.09776207,40.60679439,195,1.8,30738,482.5,45.79595027,590000
Erasmus,-73.9481771,40.64692607,2253,1.75,30665,482.5,39.64147415,590000
Far Rockaway,-73.75497968,40.60313443,130,1.65,49201,201.9,24.31889986,547500
Fieldston,-73.9056426,40.89543743,3070,1.75,27936,362.5,35.27592759,322500
Financial District,-74.01066545,40.70710711,42180,1.7,61000,1771.6,41.33584406,967500
Flatbush,-73.95840107,40.63632589,9858,1.85,108340,308.2,47.89652438,1337500
